CommodityGroup,CommodityGroupName,CommodityCode,CommodityName
1870,Pulpwood and particles (1961-1997),1614,"Pulpwood, round and split, all species (export/import, 1961-1989)"
1871,Other industrial roundwood,1623,"Other industrial roundwood, coniferous (production)"
1871,Other industrial roundwood,1625,"Other industrial roundwood, all species (export/import, 1961-1989)"
1871,Other industrial roundwood,1626,"Other industrial roundwood, non-coniferous (production)"
1872,Sawnwood,1632,"Sawnwood, coniferous"
1872,Sawnwood,1633,"Sawnwood, non-coniferous all"
1873,Wood-based panels,1606,OSB
1873,Wood-based panels,1640,Plywood
1873,Wood-based panels,1646,Particle board and OSB (1961-1994)
1873,Wood-based panels,1647,Hardboard
1873,Wood-based panels,1648,MDF/HDF
1873,Wood-based panels,1649,"Fibreboard, compressed (1961-1994)"
1873,Wood-based panels,1650,Other fibreboard
1873,Wood-based panels,1697,Particle board
1874,Fibreboard,1647,Hardboard
1874,Fibreboard,1648,MDF/HDF
1874,Fibreboard,1649,"Fibreboard, compressed (1961-1994)"
1874,Fibreboard,1650,Other fibreboard
1875,Wood pulp,1654,Mechanical wood pulp
1875,Wood pulp,1655,Semi-chemical wood pulp
1875,Wood pulp,1656,Chemical wood pulp
1875,Wood pulp,1667,Dissolving wood pulp
1876,Paper and paperboard,1671,Newsprint
1876,Paper and paperboard,1674,Printing and writing papers
1876,Paper and paperboard,1675,Other paper and paperboard
1878,Pulp for paper,1654,Mechanical wood pulp
1878,Pulp for paper,1655,Semi-chemical wood pulp
1878,Pulp for paper,1656,Chemical wood pulp
1878,Pulp for paper,1668,Pulp from fibres other than wood
1879,Total fibre furnish,1654,Mechanical wood pulp
1879,Total fibre furnish,1655,Semi-chemical wood pulp
1879,Total fibre furnish,1656,Chemical wood pulp
1879,Total fibre furnish,1668,Pulp from fibres other than wood
1879,Total fibre furnish,1669,Recovered paper
2038,"Pulpwood, round and split, all species (production)",1602,"Pulpwood, round and split, coniferous (production)"
2038,"Pulpwood, round and split, all species (production)",1603,"Pulpwood, round and split, non-coniferous (production)"
2040,Other pulp,1609,Recovered fibre pulp
2040,Other pulp,1668,Pulp from fibres other than wood
2042,Graphic papers,1671,Newsprint
2042,Graphic papers,1674,Printing and writing papers
2043,Packaging paper and paperboard,1617,Case materials
2043,Packaging paper and paperboard,1618,Cartonboard
2043,Packaging paper and paperboard,1621,Wrapping papers
2043,Packaging paper and paperboard,1622,Other papers mainly for packaging
1877,Forest products (export/import),1601,"Sawlogs and veneer logs, coniferous"
1877,Forest products (export/import),1604,"Sawlogs and veneer logs, non-coniferous"
1877,Forest products (export/import),1606,OSB
1877,Forest products (export/import),1608,"Pulpwood and particles, coniferous (production, 1961-1997)"
1877,Forest products (export/import),1611,"Pulpwood and particles, non-coniferous (production, 1961-1997)"
1877,Forest products (export/import),1614,"Pulpwood, round and split, all species (export/import, 1961-1989)"
1877,Forest products (export/import),1619,Wood chips and particles
1877,Forest products (export/import),1620,Wood residues
1877,Forest products (export/import),1623,"Other industrial roundwood, coniferous (production)"
1877,Forest products (export/import),1625,"Other industrial roundwood, all species (export/import, 1961-1989)"
1877,Forest products (export/import),1626,"Other industrial roundwood, non-coniferous (production)"
1877,Forest products (export/import),1629,"Wood fuel, all species (export/import)"
1877,Forest products (export/import),1630,Wood charcoal
1877,Forest products (export/import),1632,"Sawnwood, coniferous"
